"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5219.11975533401,5.63669219229976,0.121202896800267,46.5062497770874,0,0
"ENSG00000159167",1619.01827745142,5.46806047699341,0.148296799592132,36.872410544479,1.27948009554597e-297,8.85272278108259e-294
"ENSG00000131016",2300.76940517834,3.74124014537461,0.125838651016616,29.7304533634948,3.10336819059031e-194,1.43148030071296e-190
"ENSG00000150594",1311.35785986333,4.61120556435379,0.158324547671236,29.1250196648535,1.73130887574235e-186,5.98946305563065e-183
"ENSG00000096088",996.657432065263,3.99010268246909,0.146764782723727,27.1870581512742,9.23890990685908e-163,2.55696070582232e-159
"ENSG00000140459",604.01205209292,5.96619034840655,0.220311362405306,27.0807201374869,1.66117641806386e-161,3.83122654552795e-158
"ENSG00000158406",5443.96947786852,3.03666669894781,0.112921381024259,26.8918664596871,2.73408181763188e-159,5.40488917034143e-156
"ENSG00000104419",15547.8037388402,2.99261641899964,0.112555043466965,26.5880259721812,9.33760718880132e-156,1.61517260348291e-152
"ENSG00000157219",564.818809338977,6.10078937188157,0.239586281983961,25.4638509407229,4.95912049550433e-143,7.62492326853211e-140
"ENSG00000137801",1841.45962953957,3.5789502874081,0.143543155410349,24.932921929833,3.27159328594622e-137,4.52723078909239e-134
"ENSG00000143847",829.833039610367,4.12750235099033,0.168856244315097,24.4438834212618,5.84552179851617e-132,7.35366642253334e-129
"ENSG00000172243",698.266724611003,4.03441354565223,0.173133878855583,23.3022766677427,4.20379025041038e-120,4.84767079043157e-117
"ENSG00000146648",6096.91829226284,2.66772671566753,0.11536867092251,23.1234935302268,2.68736834877878e-118,2.86060024695391e-115
"ENSG00000134240",1046.16558087695,-3.33112906766105,0.145578072776597,-22.8820797262029,7.00790094223107e-116,6.9268095170424e-113
"ENSG00000131389",795.268921198629,4.03244371897184,0.177616587640268,22.7030806781338,4.17678442860655e-114,3.85322286153716e-111
"ENSG00000170525",2259.6810167273,2.82544531381705,0.124981539355924,22.6069012141922,3.70665735195425e-113,3.20579527727143e-110
"ENSG00000115414",28776.0640269111,2.88484686289052,0.129707702094209,22.2411376989409,1.37427407701105e-109,1.11865909868699e-106
"ENSG00000114268",1398.60076266472,2.85621591271399,0.129147052370993,22.1159976962471,2.21751292347916e-108,1.70477465750581e-105
"ENSG00000166292",441.549064014697,4.75625238757454,0.215151701466072,22.1065060381341,2.73651779992816e-108,1.99304912186347e-105
"ENSG00000125629",1951.61857394204,2.79940962023691,0.130841370368843,21.3954471154296,1.47310664532297e-101,1.01924248789896e-98
"ENSG00000164188",732.56253967804,3.40708196739962,0.160765326296441,21.1928905684374,1.11065233391837e-99,7.31866999845826e-97
"ENSG00000134333",46966.1554674687,1.92686568023823,0.0967363136896944,19.9187420601857,2.79935308307631e-88,1.760793089255e-85
"ENSG00000102144",24357.0362795528,2.2043192226961,0.1109403027105,19.8694177755068,7.48661367458863e-88,4.50433739256337e-85
"ENSG00000164850",470.423823439308,3.58092283896816,0.1827108552574,19.5988510585395,1.58154551427317e-85,9.11892784438008e-83
"ENSG00000197520",511.485663365112,3.70944399519791,0.189291618454448,19.5964513668658,1.65790155865333e-85,9.17681670745789e-83
"ENSG00000115738",1280.77284536073,2.49692971291067,0.128387436283236,19.4483960829483,3.00690161168492e-84,1.60036555778831e-81
