"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm.LNCAP_Hypoxia_S1","avg_cpm.LNCAP_Hypoxia_S2","avg_cpm.LNCAP_Normoxia_S1","avg_cpm.LNCAP_Normoxia_S2"
"ENSG00000283339",3.894889e+01, 8.7954496, 8.672600e-09, 1.569664e-07,"","unprocessed_pseudogene",1.876532e+00,2.067895e+00,0.000000e+00,0.000000e+00
"ENSG00000261051",2.113735e+01, 7.9137660, 6.984912e-07, 9.081717e-06,"","lncRNA",1.008286e+00,1.132419e+00,0.000000e+00,0.000000e+00
"ENSG00000105329",1.993445e+02, 7.7023728, 5.352192e-24, 4.099739e-22,"TGFB1","protein_coding",1.106313e+01,9.010113e+00,7.843531e-02,2.154691e-02
"ENSG00000224658",1.631556e+01, 7.5418468, 4.406242e-06, 4.763027e-05,"","lncRNA",6.441825e-01,1.009330e+00,0.000000e+00,0.000000e+00
"ENSG00000290684",1.521971e+01, 7.4372711, 6.989741e-06, 7.214430e-05,"OR2W5P","lncRNA",9.242619e-01,6.154449e-01,0.000000e+00,0.000000e+00
"ENSG00000255671",1.403720e+01, 7.3219530, 1.109978e-05, 1.089835e-04,"","lncRNA",7.562143e-01,6.646805e-01,0.000000e+00,0.000000e+00
"ENSG00000204136",7.448282e+01, 7.2838067, 2.023761e-11, 5.467631e-10,"GGTA1","protein_coding",4.117167e+00,3.372638e+00,2.614510e-02,2.154691e-02
"ENSG00000162373",1.206465e+01, 7.1021764, 3.082656e-05, 2.703537e-04,"BEND5","protein_coding",7.282063e-01,4.923559e-01,0.000000e+00,0.000000e+00
"ENSG00000220575",1.814881e+03, 6.7331829,5.803663e-221,3.956551e-217,"HTR5A-AS1","lncRNA",9.110982e+01,9.091352e+01,9.935139e-01,7.110479e-01
"ENSG00000121207",8.434320e+01, 6.4730305, 1.002888e-15, 4.354789e-14,"LRAT","protein_coding",4.145175e+00,4.308114e+00,0.000000e+00,8.618762e-02
"ENSG00000129152",2.704710e+02, 6.3215245, 2.897472e-46, 5.925909e-44,"MYOD1","protein_coding",1.442409e+01,1.260431e+01,2.353059e-01,1.077345e-01
"ENSG00000154478",4.362434e+02, 6.3100212, 2.235291e-71, 9.143235e-69,"GPR26","protein_coding",2.299452e+01,2.062971e+01,1.830157e-01,3.447505e-01
"ENSG00000157219",1.142457e+03, 6.1556920,2.208723e-159,4.517281e-156,"HTR5A","protein_coding",6.035710e+01,5.371603e+01,6.013374e-01,9.480638e-01
"ENSG00000187243",8.015458e+01, 6.0249526, 1.322682e-04, 9.575746e-04,"MAGED4B","protein_coding",7.226048e+00,7.385339e-01,7.843531e-02,4.309381e-02
"ENSG00000140459",1.221600e+03, 6.0234247,2.081777e-180,6.082359e-177,"CYP11A1","protein_coding",6.030109e+01,6.151987e+01,9.150786e-01,9.265169e-01
"ENSG00000187474",1.570673e+02, 5.7411974, 4.100371e-30, 4.413725e-28,"FPR3","protein_coding",8.794492e+00,6.794512e+00,2.353059e-01,6.464072e-02
"ENSG00000115461",6.804778e+02, 5.7247974, 1.508161e-12, 4.522714e-11,"IGFBP5","protein_coding",3.341347e+01,3.421874e+01,2.614510e-01,9.911576e-01
"ENSG00000223417",8.925775e+01, 5.7057489, 7.302368e-17, 3.522359e-15,"TRIM49D1","protein_coding",2.744778e+00,6.129831e+00,1.307255e-01,4.309381e-02
"ENSG00000260788",5.196380e+02, 5.7033209, 1.301730e-88, 8.588057e-86,"CEDORA","lncRNA",2.414284e+01,2.747346e+01,6.274825e-01,3.662974e-01
"ENSG00000152952",1.055385e+04, 5.6953101, 0.000000e+00, 0.000000e+00,"PLOD2","protein_coding",5.425977e+02,5.055757e+02,1.035346e+01,9.566826e+00
"ENSG00000233802",8.237687e+01, 5.5971691, 5.495332e-18, 2.788847e-16,"TRIM49D2","protein_coding",4.033143e+00,4.135790e+00,1.045804e-01,6.464072e-02
"ENSG00000159167",3.273608e+03, 5.5259066, 0.000000e+00, 0.000000e+00,"STC1","protein_coding",1.681596e+02,1.561999e+02,3.503444e+00,3.425958e+00
"ENSG00000171954",2.091320e+01, 5.4547282, 9.723278e-06, 9.705246e-05,"CYP4F22","protein_coding",1.064302e+00,1.009330e+00,0.000000e+00,4.309381e-02
"ENSG00000168874",2.447963e+02, 5.4512571, 5.431046e-48, 1.207345e-45,"ATOH8","protein_coding",1.125919e+01,1.297358e+01,3.137412e-01,2.370160e-01
"ENSG00000173040",3.080785e+01, 5.4283945, 1.109120e-07, 1.680275e-06,"EVC2","protein_coding",1.820516e+00,1.230890e+00,0.000000e+00,6.464072e-02
"ENSG00000064225",1.026848e+02, 5.3996997, 2.246695e-22, 1.516482e-20,"ST3GAL6","protein_coding",4.985413e+00,5.169737e+00,1.307255e-01,1.077345e-01
"ENSG00000258667",1.295331e+03, 5.2822125,1.167723e-155,1.990189e-152,"HIF1A-AS3","lncRNA",7.150426e+01,5.627628e+01,1.830157e+00,1.422096e+00
"ENSG00000276107",1.796958e+01, 5.2048612, 3.762232e-05, 3.218116e-04,"THBS1-IT1","lncRNA",6.161746e-01,1.157036e+00,2.614510e-02,2.154691e-02
"ENSG00000289500",3.441278e+01, 5.1715318, 1.377148e-08, 2.419711e-07,"","lncRNA",1.820516e+00,1.575539e+00,0.000000e+00,8.618762e-02
"ENSG00000266711",1.386461e+02, 5.0837396, 7.418080e-28, 7.364785e-26,"","lncRNA",7.590151e+00,6.055978e+00,7.843531e-02,3.016567e-01
"ENSG00000206538",1.621111e+01, 5.0493121, 6.971141e-05, 5.530403e-04,"VGLL3","protein_coding",7.562143e-01,8.370051e-01,2.614510e-02,2.154691e-02
"ENSG00000255021",3.818073e+01, 4.9812121, 1.732415e-09, 3.522003e-08,"","lncRNA",2.100595e+00,1.649392e+00,2.614510e-02,8.618762e-02
"ENSG00000124126",4.474687e+01, 4.9212838, 1.829197e-10, 4.360226e-09,"PREX1","protein_coding",2.828802e+00,1.550921e+00,7.843531e-02,6.464072e-02
"ENSG00000288928",2.207829e+02, 4.8933936, 1.919206e-42, 3.383759e-40,"","lncRNA",1.190337e+01,9.699412e+00,4.706119e-01,2.585629e-01
"ENSG00000112303",1.053671e+02, 4.8319619, 2.684094e-23, 1.967566e-21,"VNN2","protein_coding",5.181468e+00,5.120502e+00,2.091608e-01,1.508283e-01
"ENSG00000166292",8.922860e+02, 4.8144191,4.493362e-127,4.836750e-124,"TMEM100","protein_coding",3.909908e+01,4.817703e+01,1.568706e+00,1.486736e+00
"ENSG00000161031",1.234961e+02, 4.8049582, 1.040555e-26, 9.673379e-25,"PGLYRP2","protein_coding",5.601587e+00,6.474480e+00,2.091608e-01,2.154691e-01
"ENSG00000308254",2.021352e+01, 4.7605826, 9.991736e-06, 9.939250e-05,"","lncRNA",8.402381e-01,1.132419e+00,5.229021e-02,2.154691e-02
