"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm.PC3_Hypoxia_S1","avg_cpm.PC3_Hypoxia_S2","avg_cpm.PC3_Normoxia_S1","avg_cpm.PC3_Normoxia_S2"
"ENSG00000310376", 4576.05526, 8.8606465, 2.231308e-06, 3.520058e-05,"","lncRNA",7.601663e+02,1.868687e+01,1.083803e+00,8.403837e-01
"ENSG00000275215",   25.36304, 8.2190718, 9.764636e-08, 1.993517e-06,"RNA5-8SN3","rRNA",2.196072e+00,2.217086e+00,0.000000e+00,0.000000e+00
"ENSG00000207389",   52.65072, 7.8968159, 3.612385e-09, 9.371799e-08,"RNU1-4","snRNA",4.012576e+00,5.146807e+00,0.000000e+00,2.626199e-02
"ENSG00000167772", 2769.93049, 6.5495591, 3.230959e-44, 6.153795e-42,"ANGPTL4","protein_coding",2.235656e+02,2.537772e+02,4.102970e+00,1.838339e+00
"ENSG00000107159",  159.58842, 6.2484347, 3.278213e-34, 4.571351e-32,"CA9","protein_coding",1.339333e+01,1.401515e+01,2.322436e-01,1.838339e-01
"ENSG00000248415",  170.84769, 5.9565750, 3.048361e-38, 4.809021e-36,"GAPDHP61","processed_pseudogene",1.352889e+01,1.575715e+01,3.096581e-01,2.363579e-01
"ENSG00000232328",   30.89377, 5.5938702, 8.975491e-09, 2.186883e-07,"","lncRNA",2.494304e+00,2.771357e+00,7.741452e-02,5.252398e-02
"ENSG00000294255",  122.14028, 5.3730281, 4.493023e-30, 5.397848e-28,"","lncRNA",1.127859e+01,9.422615e+00,3.096581e-01,2.626199e-01
"ENSG00000162723",  373.24776, 5.2852104, 5.524998e-81, 2.332146e-78,"SLAMF9","protein_coding",2.778980e+01,3.571092e+01,9.289743e-01,8.666457e-01
"ENSG00000201428",   73.14193, 5.2387520, 3.374025e-19, 2.395251e-17,"RN7SKP71","misc_RNA",5.747744e+00,6.651258e+00,2.322436e-01,1.575719e-01
"ENSG00000148926",  756.30720, 4.9517878,1.988818e-147,3.106136e-144,"ADM","protein_coding",6.054110e+01,6.675012e+01,3.173995e+00,1.838339e+00
"ENSG00000146674", 5839.50724, 4.7706178, 0.000000e+00, 0.000000e+00,"IGFBP3","protein_coding",5.177579e+02,4.615498e+02,1.919880e+01,2.037930e+01
