Geneid,Gene.name,Gene.type,baseMean_lncap,log2FoldChange_lncap,padj_lncap,baseMean_pc3,log2FoldChange_pc3,padj_pc3
ENSG00000152952,PLOD2,protein_coding,5219.11975533401,5.63669219229976,0,7246.54952007175,2.19847534896912,5.95913294594069e-113
ENSG00000159167,STC1,protein_coding,1619.01827745142,5.46806047699341,8.85272278108259e-294,5843.89708460687,3.12905188803534,3.84696758119025e-251
ENSG00000131016,AKAP12,protein_coding,2300.76940517834,3.74124014537461,1.43148030071296e-190,2158.08903870809,1.71552288534833,8.38113327248626e-56
ENSG00000104419,NDRG1,protein_coding,15547.8037388402,2.99261641899964,1.61517260348291e-152,76218.6717854089,4.52507051321511,0
ENSG00000137801,THBS1,protein_coding,1841.45962953957,3.5789502874081,4.52723078909239e-134,3914.80053241522,0.824375316153954,0.0288572726886621
ENSG00000143847,PPFIA4,protein_coding,829.833039610367,4.12750235099033,7.35366642253334e-129,227.970468941066,3.81844369732561,5.04938882810449e-29
ENSG00000146648,EGFR,protein_coding,6096.91829226284,2.66772671566753,2.86060024695391e-115,4528.82817741238,1.55809005998383,1.20812400166332e-56
ENSG00000131389,SLC6A6,protein_coding,795.268921198629,4.03244371897184,3.85322286153716e-111,2279.64972582805,1.46007655183178,8.89053710912222e-32
ENSG00000170525,PFKFB3,protein_coding,2259.6810167273,2.82544531381705,3.20579527727143e-110,1870.96406518369,2.47724355594906,3.85643864726118e-86
ENSG00000115414,FN1,protein_coding,28776.0640269111,2.88484686289052,1.11865909868699e-106,8136.30904364034,0.806707317112445,2.11295009381205e-19
ENSG00000114268,PFKFB4,protein_coding,1398.60076266472,2.85621591271399,1.70477465750581e-105,3531.12477041615,2.86105872507911,2.19553605726157e-156
ENSG00000125629,INSIG2,protein_coding,1951.61857394204,2.79940962023692,1.01924248789896e-98,1444.59914936424,2.86152937468095,7.18013291791326e-80
ENSG00000134333,LDHA,protein_coding,46966.1554674687,1.92686568023823,1.760793089255e-85,72884.2502404454,1.70203590871345,1.7767245930105e-110
ENSG00000102144,PGK1,protein_coding,24357.0362795528,2.2043192226961,4.50433739256337e-85,3132.58279830766,2.0337075867105,5.11755351976608e-77
ENSG00000164850,GPER1,protein_coding,470.423823439308,3.58092283896816,9.11892784438008e-83,97.5243203357543,1.09129359996651,0.0142128114303016
ENSG00000176171,BNIP3,protein_coding,14128.8063443486,2.05908653096748,5.78749059746391e-79,5667.09438199729,2.86142297733337,6.66821644026511e-216
ENSG00000149925,ALDOA,protein_coding,3107.69813067174,2.28985700453525,6.26926088985141e-76,1012.05165992638,0.848284318557126,4.20992538070876e-06
ENSG00000196968,FUT11,protein_coding,746.559779476886,2.70595600152522,1.63300278072766e-71,3348.97053184181,2.34232363262436,4.35861128841593e-127
ENSG00000114023,FAM162A,protein_coding,13102.7095400533,1.82029594752259,8.22335615793107e-69,4662.91193288827,2.36833014215198,5.16334578564646e-139
ENSG00000104765,BNIP3L,protein_coding,16122.5842533522,2.12098962845421,8.40113528222433e-68,5146.99716633741,2.55394376001155,4.67046649109955e-140
ENSG00000134107,BHLHE40,protein_coding,1488.77680536077,2.37995192304627,1.29169902466848e-67,8500.03072828766,2.87033863277148,4.58677309449071e-230
ENSG00000163516,ANKZF1,protein_coding,3612.09136434222,1.85391964162457,2.04244324354973e-65,1780.27384658674,2.26156491478256,2.93045213622497e-84
ENSG00000129521,EGLN3,protein_coding,1118.33567391765,2.55996515061485,1.71278082275607e-63,236.949536861595,1.50220332810038,1.7255636741288e-08
ENSG00000172175,MALT1,protein_coding,9547.00905334989,2.3579259975989,2.62157692442874e-63,2829.44010065433,0.907850723894325,2.19378453440965e-14
ENSG00000067057,PFKP,protein_coding,3806.8673865766,1.97163515278055,1.04065317791643e-62,5912.51382562682,1.4471230007972,2.58249415418463e-58
ENSG00000100906,NFKBIA,protein_coding,4244.44027349872,1.91526451593636,2.82060662589046e-62,1724.99375650338,0.350704946860225,0.00715801135899971
ENSG00000152256,PDK1,protein_coding,2393.03812163593,2.01219766349123,2.52395940798289e-55,2036.76437842997,2.16200843067818,6.93185495428815e-79
ENSG00000069667,RORA,protein_coding,316.765905302121,3.20838621164513,7.5513382831234e-55,1188.1898136049,2.8063458230695,1.28508872274267e-78
ENSG00000135919,SERPINE2,protein_coding,491.494933200679,3.04231839897944,2.8667827407712e-52,416.201717519107,0.52636011873693,0.0212241882286257
ENSG00000197930,ERO1A,protein_coding,3766.78002728289,2.17479474102816,4.07882438040078e-51,32175.7956535873,1.82090429091319,6.12528134923615e-142
ENSG00000115548,KDM3A,protein_coding,2288.38184905925,1.90038941134451,3.72450150789684e-50,4210.23306928322,1.87926900395178,1.2829167080536e-87
ENSG00000164096,C4orf3,protein_coding,10041.8905366529,1.6531001309027,4.13608349353205e-49,1330.48418107796,2.18210404154991,9.96991567760981e-66
ENSG00000122884,P4HA1,protein_coding,3832.65867609159,1.59582002383309,1.5619409808687e-48,16510.6062510395,1.81086508184123,1.19433659238679e-123
ENSG00000067225,PKM,protein_coding,26283.3613656199,1.49079910717189,1.31616543171396e-47,73880.1502736407,0.589330720381051,1.94256198050359e-15
ENSG00000159399,HK2,protein_coding,4110.04075818528,1.74134025700209,3.02945862858836e-46,2323.94667321322,1.41817439290005,4.77360216665139e-33
ENSG00000127663,KDM4B,protein_coding,2485.64659581305,1.65889735469125,3.63926490858267e-46,678.317112313188,1.10587663748431,3.02100148500807e-11
ENSG00000173221,GLRX,protein_coding,620.597080632821,2.19816208760266,1.8491445727501e-45,3342.52631710132,0.714164755192769,2.64486546593523e-13
ENSG00000147852,VLDLR,protein_coding,625.257278592325,2.18197771997392,2.99975913380163e-45,556.901918737679,2.7619965719503,7.19279700208619e-48
ENSG00000123384,LRP1,protein_coding,1457.70288773666,1.95950554042284,3.30399714414465e-44,1226.17970325115,1.80600080078914,1.24200774211803e-41
ENSG00000112715,VEGFA,protein_coding,9577.96958844205,1.69226012061435,1.12979739147496e-43,15915.5583134864,0.365589617703979,1.15643152536709e-05
ENSG00000164442,CITED2,protein_coding,6860.65692140686,1.64876825893273,4.58286586469169e-43,985.203524442555,1.48119477799395,5.64717312722232e-26
ENSG00000006007,GDE1,protein_coding,3155.60041895513,1.662777145292,6.97299345628608e-43,4185.97831970457,0.785976442161872,2.32215031273747e-16
ENSG00000133639,BTG1,protein_coding,1977.97945317063,1.64823937286989,6.08180805301931e-41,1427.01581726995,2.07710657003404,9.76659783158103e-62
ENSG00000177181,RIMKLA,protein_coding,1073.44509985065,1.79446260322812,2.75216146537835e-40,1795.77556307943,2.89765521627788,7.34832898474012e-116
ENSG00000146094,DOK3,protein_coding,517.451545260106,2.20487253786078,3.39118951405167e-39,218.885244093379,1.57547405540419,9.12693403056798e-09
ENSG00000130821,SLC6A8,protein_coding,3350.31884189014,1.59562491672104,6.52436365261244e-38,678.479533875274,0.558370039250389,0.0017504726543619
ENSG00000117394,SLC2A1,protein_coding,1461.22374905437,2.07079929391021,9.3009376402123e-38,3878.11961475823,2.32522008426633,6.32079445216233e-111
ENSG00000135111,TBX3,protein_coding,12325.7068563236,1.44435349335896,4.096453737716e-37,292.727670720347,1.04238878402156,1.78040876322737e-05
