Sample	Unique Reads	Duplicate Reads
SRR7179504_pass	4753671.0	8794761.0
SRR7179505_pass	4669804.0	8649046.0
SRR7179506_pass	4899848.0	9154116.0
SRR7179507_pass	4980574.0	9077798.0
SRR7179508_pass	5742897.0	10682481.0
SRR7179509_pass	5649944.0	10539915.0
SRR7179510_pass	5915440.0	11114391.0
SRR7179511_pass	6059936.0	11029812.0
SRR7179520_pass	4735851.0	7657482.0
SRR7179521_pass	4654640.0	7557828.0
SRR7179522_pass	4880450.0	7980234.0
SRR7179523_pass	4962172.0	7935841.0
SRR7179524_pass	5159203.0	8937218.0
SRR7179525_pass	5078601.0	8815453.0
SRR7179526_pass	5304074.0	9304245.0
SRR7179527_pass	5410711.0	9224270.0
SRR7179536_pass	4247399.0	21892911.0
SRR7179537_pass	9282229.0	66834967.0
SRR7179540_pass	10994011.0	61093245.0
SRR7179541_pass	5217619.0	18800121.0
