Geneid,PC3_Normoxia_S2,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2
ENSG00000000003,971,352,604,367,380,691,1059,332
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,1761,747,1995,2160,2454,2302,1974,693
ENSG00000000457,83,29,554,433,518,607,88,26
ENSG00000000460,438,189,275,379,349,350,390,155
ENSG00000000938,1,0,2,2,1,2,0,0
ENSG00000000971,2,0,0,1,0,0,3,1
ENSG00000001036,732,287,178,334,452,229,821,280
ENSG00000001084,903,310,1274,915,941,1749,804,251
ENSG00000001167,1855,685,5820,4616,5061,6361,2311,727
ENSG00000001460,391,130,286,432,512,290,320,119
ENSG00000001461,864,324,1653,2190,2735,1985,800,258
ENSG00000001497,609,230,2310,2829,3617,2456,426,151
ENSG00000001561,1525,513,1350,1242,1344,1544,1704,560
ENSG00000001617,403,159,1233,757,986,1195,270,93
ENSG00000001626,4,1,6,10,15,2,7,1
ENSG00000001629,1257,462,2465,2490,2741,2852,1296,412
ENSG00000001630,101,41,123,172,191,166,101,29
ENSG00000001631,292,96,653,729,746,776,254,90
ENSG00000002016,188,70,467,613,719,617,159,43
ENSG00000002330,198,107,248,218,524,320,173,71
ENSG00000002549,962,333,2172,3845,5070,2519,756,244
ENSG00000002586,3056,1173,8476,7193,9439,10240,3949,1455
ENSG00000002587,42,16,75,244,422,92,57,17
ENSG00000002726,0,0,13,7,7,10,1,0
ENSG00000002745,4,0,0,2,0,1,3,0
ENSG00000002746,44,9,0,1,2,5,17,8
ENSG00000002822,4,3,4,2,5,5,1,2
ENSG00000002834,6776,2575,4015,4146,4826,4530,6525,2253
ENSG00000002919,430,163,336,356,557,345,419,141
ENSG00000002933,0,0,6,1,1,1,0,0
ENSG00000003056,2935,1252,2144,2274,2699,2419,2620,980
ENSG00000003096,279,119,69,121,211,92,276,85
ENSG00000003137,470,188,52,32,35,86,615,182
ENSG00000003147,60,14,2587,2701,3406,2769,30,18
ENSG00000003249,427,180,2037,1503,2319,2298,527,142
ENSG00000003393,980,302,2105,1837,1966,2273,794,259
ENSG00000003400,5,4,46,69,76,53,1,3
ENSG00000003402,795,289,2496,2597,2697,2961,759,248
ENSG00000003436,1836,612,9048,4862,5114,10230,2919,952
ENSG00000003509,537,205,862,898,1097,940,369,163
ENSG00000003756,750,240,3597,2889,3700,3756,710,207
ENSG00000003987,38,9,42,27,23,63,30,8
ENSG00000003989,318,108,779,583,633,923,145,32
ENSG00000004059,1012,377,2840,2369,4002,3270,736,311
ENSG00000004139,98,37,364,520,650,426,33,12
ENSG00000004142,1584,666,4180,5408,7502,4811,1220,450
ENSG00000004399,223,68,258,85,90,255,156,67
ENSG00000004455,3143,1128,7357,8524,9315,8945,3560,1221
ENSG00000004468,4,0,1,9,7,3,2,1
ENSG00000004478,3397,1390,7701,12036,13881,9940,3125,1021
ENSG00000004487,2000,735,4739,3773,4169,5697,1832,622
